Customer ID,Customer Name,Segment,First Name,Last Name,Palindrome
"EH-13945","Eric Hoffmann","Consumer","Eric","Hoffmann",0
"JO-15280","Jas O'Carroll","Consumer","Jas","O'Carroll",0
"JG-15160","James Galang","Consumer","James","Galang",0
"AS-10240","Alan Shonely","Consumer","Alan","Shonely",0
"KD-16345","Katherine Ducich","Consumer","Katherine","Ducich",0
"CC-12145","Charles Crestani","Consumer","Charles","Crestani",0
"JL-15835","John Lee","Consumer","John","Lee",0
"GT-14755","Guy Thornton","Consumer","Guy","Thornton",0
"XP-21865","Xylona Preis","Consumer","Xylona","Preis",0
"LS-17230","Lycoris Saunders","Consumer","Lycoris","Saunders",0
"MV-17485","Mark Van Huff","Consumer","Mark","Van Huff",0
"CL-12565","Clay Ludtke","Consumer","Clay","Ludtke",0
"TB-21250","Tim Brockman","Consumer","Tim","Brockman",0
"GM-14440","Gary McGarr","Consumer","Gary","McGarr",0
"FP-14320","Frank Preis","Consumer","Frank","Preis",0
"CB-12025","Cassandra Brandow","Consumer","Cassandra","Brandow",0
"BH-11710","Brosina Hoffman","Consumer","Brosina","Hoffman",0
"KM-16720","Kunst Miller","Consumer","Kunst","Miller",0
"TT-21070","Ted Trevino","Consumer","Ted","Trevino",0
"CS-12130","Chad Sievert","Consumer","Chad","Sievert",0
"JH-15910","Jonathan Howell","Consumer","Jonathan","Howell",0
"LH-17155","Logan Haushalter","Consumer","Logan","Haushalter",0
"OT-18730","Olvera Toch","Consumer","Olvera","Toch",0
"AB-10165","Alan Barnes","Consumer","Alan","Barnes",0
"MS-17830","Melanie Seite","Consumer","Melanie","Seite",0
"AR-10510","Andrew Roberts","Consumer","Andrew","Roberts",0
"LC-17140","Logan Currie","Consumer","Logan","Currie",0
"AP-10915","Arthur Prichep","Consumer","Arthur","Prichep",0
"SC-20095","Sanjit Chand","Consumer","Sanjit","Chand",0
"JF-15490","Jeremy Farry","Consumer","Jeremy","Farry",0
"PS-18760","Pamela Stobb","Consumer","Pamela","Stobb",0
"AG-10900","Arthur Gainer","Consumer","Arthur","Gainer",0
"DP-13000","Darren Powers","Consumer","Darren","Powers",0
"MC-17575","Matt Collins","Consumer","Matt","Collins",0
"LB-16735","Larry Blacks","Consumer","Larry","Blacks",0
"JM-16195","Justin MacKendrick","Consumer","Justin","MacKendrick",0
"JA-15970","Joseph Airdo","Consumer","Joseph","Airdo",0
"AM-10705","Anne McFarland","Consumer","Anne","McFarland",0
"PF-19225","Phillip Flathmann","Consumer","Phillip","Flathmann",0
"KT-16465","Kean Takahito","Consumer","Kean","Takahito",0
"LR-16915","Lena Radford","Consumer","Lena","Radford",0
"CM-12190","Charlotte Melton","Consumer","Charlotte","Melton",0
"PO-18865","Patrick O'Donnell","Consumer","Patrick","O'Donnell",0
"MC-17845","Michael Chen","Consumer","Michael","Chen",0
"DO-13435","Denny Ordway","Consumer","Denny","Ordway",0
"SP-20920","Susan Pistek","Consumer","Susan","Pistek",0
"CC-12370","Christopher Conant","Consumer","Christopher","Conant",0
"TS-21340","Toby Swindell","Consumer","Toby","Swindell",0
"BD-11320","Bill Donatelli","Consumer","Bill","Donatelli",0
"CK-12595","Clytie Kelty","Consumer","Clytie","Kelty",0
"WB-21850","William Brown","Consumer","William","Brown",0
"NG-18430","Nathan Gelder","Consumer","Nathan","Gelder",0
"TB-21625","Trudy Brown","Consumer","Trudy","Brown",0
"PB-19150","Philip Brown","Consumer","Philip","Brown",0
"CC-12475","Cindy Chapman","Consumer","Cindy","Chapman",0
"SS-20410","Shahid Shariari","Consumer","Shahid","Shariari",0
"AI-10855","Arianne Irving","Consumer","Arianne","Irving",0
"JM-15580","Jill Matthias","Consumer","Jill","Matthias",0
"TZ-21580","Tracy Zic","Consumer","Tracy","Zic",0
"NM-18520","Neoma Murray","Consumer","Neoma","Murray",0
"JE-15745","Joel Eaton","Consumer","Joel","Eaton",0
"AZ-10750","Annie Zypern","Consumer","Annie","Zypern",0
"BG-11740","Bruce Geld","Consumer","Bruce","Geld",0
"BP-11230","Benjamin Patterson","Consumer","Benjamin","Patterson",0
"MV-18190","Mike Vittorini","Consumer","Mike","Vittorini",0
"HG-15025","Hunter Glantz","Consumer","Hunter","Glantz",0
"KM-16660","Khloe Miller","Consumer","Khloe","Miller",0
"CC-12220","Chris Cortes","Consumer","Chris","Cortes",0
"BP-11155","Becky Pak","Consumer","Becky","Pak",0
"CB-12415","Christy Brittain","Consumer","Christy","Brittain",0
"JF-15295","Jason Fortune","Consumer","Jason","Fortune",0
"AR-10540","Andy Reiter","Consumer","Andy","Reiter",0
"RL-19615","Rob Lucas","Consumer","Rob","Lucas",0
"RB-19435","Richard Bierner","Consumer","Richard","Bierner",0
"JB-15925","Joni Blumstein","Consumer","Joni","Blumstein",0
"LS-17245","Lynn Smith","Consumer","Lynn","Smith",0
"KD-16270","Karen Daniels","Consumer","Karen","Daniels",0
"SB-20185","Sarah Brown","Consumer","Sarah","Brown",0
"RD-19585","Rob Dowd","Consumer","Rob","Dowd",0
"SW-20245","Scot Wooten","Consumer","Scot","Wooten",0
"PG-18895","Paul Gonzalez","Consumer","Paul","Gonzalez",0
"SV-20785","Stewart Visinsky","Consumer","Stewart","Visinsky",0
"AJ-10945","Ashley Jarboe","Consumer","Ashley","Jarboe",0
"MS-17365","Maribeth Schnelling","Consumer","Maribeth","Schnelling",0
"CS-11950","Carlos Soltero","Consumer","Carlos","Soltero",0
"ML-17410","Maris LaWare","Consumer","Maris","LaWare",0
"ZD-21925","Zuschuss Donatelli","Consumer","Zuschuss","Donatelli",0
"HA-14920","Helen Andreada","Consumer","Helen","Andreada",0
"JD-16060","Julia Dunbar","Consumer","Julia","Dunbar",0
"LC-16885","Lena Creighton","Consumer","Lena","Creighton",0
"AA-10315","Alex Avila","Consumer","Alex","Avila",0
"LD-17005","Lisa DeCherney","Consumer","Lisa","DeCherney",0
"HF-14995","Herbert Flentye","Consumer","Herbert","Flentye",0
"DN-13690","Duane Noonan","Consumer","Duane","Noonan",0
"JW-16075","Julia West","Consumer","Julia","West",0
"BD-11605","Brian Dahlen","Consumer","Brian","Dahlen",0
"SW-20455","Shaun Weien","Consumer","Shaun","Weien",0
"SG-20470","Sheri Gordon","Consumer","Sheri","Gordon",0
"AF-10870","Art Ferguson","Consumer","Art","Ferguson",0
"PO-18850","Patrick O'Brill","Consumer","Patrick","O'Brill",0
"SS-20590","Sonia Sunley","Consumer","Sonia","Sunley",0
"RD-19900","Ruben Dartt","Consumer","Ruben","Dartt",0
"LC-16870","Lena Cacioppo","Consumer","Lena","Cacioppo",0
"GT-14710","Greg Tran","Consumer","Greg","Tran",0
"KW-16570","Kelly Williams","Consumer","Kelly","Williams",0
"JP-15520","Jeremy Pistek","Consumer","Jeremy","Pistek",0
"GZ-14470","Gary Zandusky","Consumer","Gary","Zandusky",0
"ES-14020","Erica Smith","Consumer","Erica","Smith",0
"PG-18820","Patrick Gardner","Consumer","Patrick","Gardner",0
"EB-13930","Eric Barreto","Consumer","Eric","Barreto",0
"RR-19315","Ralph Ritter","Consumer","Ralph","Ritter",0
"PK-19075","Pete Kriz","Consumer","Pete","Kriz",0
"BK-11260","Berenike Kampe","Consumer","Berenike","Kampe",0
"JF-15565","Jill Fjeld","Consumer","Jill","Fjeld",0
"DB-13615","Doug Bickford","Consumer","Doug","Bickford",0
"MT-17815","Meg Tillman","Consumer","Meg","Tillman",0
"LP-17080","Liz Pelletier","Consumer","Liz","Pelletier",0
"RO-19780","Rose O'Brian","Consumer","Rose","O'Brian",0
"CA-12265","Christina Anderson","Consumer","Christina","Anderson",0
"CM-12445","Chuck Magee","Consumer","Chuck","Magee",0
"MK-18160","Mike Kennedy","Consumer","Mike","Kennedy",0
"TR-21325","Toby Ritter","Consumer","Toby","Ritter",0
"JL-15850","John Lucas","Consumer","John","Lucas",0
"KL-16645","Ken Lonsdale","Consumer","Ken","Lonsdale",0
"GA-14515","George Ashbrook","Consumer","George","Ashbrook",0
"CS-12505","Cindy Stewart","Consumer","Cindy","Stewart",0
"LH-17020","Lisa Hazard","Consumer","Lisa","Hazard",0
"CL-11890","Carl Ludwig","Consumer","Carl","Ludwig",0
"GW-14605","Giulietta Weimer","Consumer","Giulietta","Weimer",0
"AH-10210","Alan Hwang","Consumer","Alan","Hwang",0
"MB-17305","Maria Bertelson","Consumer","Maria","Bertelson",0
"BT-11680","Brian Thompson","Consumer","Brian","Thompson",0
"NP-18325","Naresj Patel","Consumer","Naresj","Patel",0
"RB-19360","Raymond Buch","Consumer","Raymond","Buch",0
"RD-19720","Roger Demir","Consumer","Roger","Demir",0
"SC-20725","Steven Cartwright","Consumer","Steven","Cartwright",0
"SH-20395","Shahid Hopkins","Consumer","Shahid","Hopkins",0
"BW-11200","Ben Wallace","Consumer","Ben","Wallace",0
"SJ-20500","Shirley Jackson","Consumer","Shirley","Jackson",0
"IM-15055","Ionia McGrath","Consumer","Ionia","McGrath",0
"KC-16540","Kelly Collister","Consumer","Kelly","Collister",0
"VG-21790","Vivek Gonzalez","Consumer","Vivek","Gonzalez",0
"PF-19165","Philip Fox","Consumer","Philip","Fox",0
"IG-15085","Ivan Gibson","Consumer","Ivan","Gibson",0
"DK-13375","Dennis Kane","Consumer","Dennis","Kane",0
"MS-17530","MaryBeth Skach","Consumer","MaryBeth","Skach",0
"TH-21100","Thea Hendricks","Consumer","Thea","Hendricks",0
"EJ-13720","Ed Jacobs","Consumer","Ed","Jacobs",0
"JF-15355","Jay Fein","Consumer","Jay","Fein",0
"IM-15070","Irene Maddox","Consumer","Irene","Maddox",0
"JE-15475","Jeremy Ellison","Consumer","Jeremy","Ellison",0
"RF-19735","Roland Fjeld","Consumer","Roland","Fjeld",0
"BS-11665","Brian Stugart","Consumer","Brian","Stugart",0
"RA-19285","Ralph Arnett","Consumer","Ralph","Arnett",0
"LT-17110","Liz Thompson","Consumer","Liz","Thompson",0
"AS-10090","Adam Shillingsburg","Consumer","Adam","Shillingsburg",0
"MJ-17740","Max Jones","Consumer","Max","Jones",0
"DL-12925","Daniel Lacy","Consumer","Daniel","Lacy",0
"RM-19375","Raymond Messe","Consumer","Raymond","Messe",0
"ZC-21910","Zuschuss Carroll","Consumer","Zuschuss","Carroll",0
"RE-19450","Richard Eichhorn","Consumer","Richard","Eichhorn",0
"RF-19840","Roy Franz̦sisch","Consumer","Roy","Franz̦sisch",0
"HA-14905","Helen Abelman","Consumer","Helen","Abelman",0
"LW-17125","Liz Willingham","Consumer","Liz","Willingham",0
"KH-16510","Keith Herrera","Consumer","Keith","Herrera",0
"SC-20305","Sean Christensen","Consumer","Sean","Christensen",0
"MS-17710","Maurice Satty","Consumer","Maurice","Satty",0
"VM-21835","Vivian Mathis","Consumer","Vivian","Mathis",0
"SF-20065","Sandra Flanagan","Consumer","Sandra","Flanagan",0
"GM-14500","Gene McClure","Consumer","Gene","McClure",0
"TG-21640","Trudy Glocke","Consumer","Trudy","Glocke",0
"RA-19945","Ryan Akin","Consumer","Ryan","Akin",0
"LT-16765","Larry Tron","Consumer","Larry","Tron",0
"RC-19825","Roy Collins","Consumer","Roy","Collins",0
"SG-20080","Sandra Glassco","Consumer","Sandra","Glassco",0
"DF-13135","David Flashing","Consumer","David","Flashing",0
"TM-21010","Tamara Manning","Consumer","Tamara","Manning",0
"JC-15340","Jasper Cacioppo","Consumer","Jasper","Cacioppo",0
"NR-18550","Nick Radford","Consumer","Nick","Radford",0
"JH-15985","Joseph Holt","Consumer","Joseph","Holt",0
"EB-14110","Eugene Barchas","Consumer","Eugene","Barchas",0
"CK-12205","Chloris Kastensmidt","Consumer","Chloris","Kastensmidt",0
"GA-14725","Guy Armstrong","Consumer","Guy","Armstrong",0
"TT-21220","Thomas Thornton","Consumer","Thomas","Thornton",0
"NC-18415","Nathan Cano","Consumer","Nathan","Cano",0
"CS-12355","Christine Sundaresam","Consumer","Christine","Sundaresam",0
"LP-17095","Liz Preis","Consumer","Liz","Preis",0
"SA-20830","Sue Ann Reed","Consumer","Sue","Ann Reed",0
"SE-20110","Sanjit Engle","Consumer","Sanjit","Engle",0
"GM-14680","Greg Matthias","Consumer","Greg","Matthias",0
"DL-12865","Dan Lawera","Consumer","Dan","Lawera",0
"MD-17350","Maribeth Dona","Consumer","Maribeth","Dona",0
"CG-12520","Claire Gute","Consumer","Claire","Gute",0
"EB-13870","Emily Burns","Consumer","Emily","Burns",0
"DK-13090","Dave Kipp","Consumer","Dave","Kipp",0
"JS-15880","John Stevenson","Consumer","John","Stevenson",0
"FO-14305","Frank Olsen","Consumer","Frank","Olsen",0
"MC-17275","Marc Crier","Consumer","Marc","Crier",0
"LM-17065","Liz MacKendrick","Consumer","Liz","MacKendrick",0
"MH-18025","Michelle Huthwaite","Consumer","Michelle","Huthwaite",0
"NW-18400","Natalie Webber","Consumer","Natalie","Webber",0
"DK-12895","Dana Kaydos","Consumer","Dana","Kaydos",0
"LH-16900","Lena Hernandez","Consumer","Lena","Hernandez",0
"KW-16435","Katrina Willman","Consumer","Katrina","Willman",0
"IL-15100","Ivan Liston","Consumer","Ivan","Liston",0
"NF-18385","Natalie Fritzler","Consumer","Natalie","Fritzler",0
"MM-17920","Michael Moore","Consumer","Michael","Moore",0
"JS-16030","Joy Smith","Consumer","Joy","Smith",0
"DB-13660","Duane Benoit","Consumer","Duane","Benoit",0
"JE-15715","Joe Elijah","Consumer","Joe","Elijah",0
"DL-13330","Denise Leinenbach","Consumer","Denise","Leinenbach",0
"LL-16840","Lauren Leatherbury","Consumer","Lauren","Leatherbury",0
"AA-10480","Andrew Allen","Consumer","Andrew","Allen",0
"CV-12295","Christina VanderZanden","Consumer","Christina","VanderZanden",0
"PM-18940","Paul MacIntyre","Consumer","Paul","MacIntyre",0
"AB-10015","Aaron Bergman","Consumer","Aaron","Bergman",0
"DK-12985","Darren Koutras","Consumer","Darren","Koutras",0
"BD-11725","Bruce Degenhardt","Consumer","Bruce","Degenhardt",0
"LE-16810","Laurel Elliston","Consumer","Laurel","Elliston",0
"AF-10885","Art Foster","Consumer","Art","Foster",0
"HL-15040","Hunter Lopez","Consumer","Hunter","Lopez",0
"RP-19390","Resi P̦lking","Consumer","Resi","P̦lking",0
"SC-20575","Sonia Cooley","Consumer","Sonia","Cooley",0
"HG-14845","Harry Greene","Consumer","Harry","Greene",0
"ND-18370","Natalie DeCherney","Consumer","Natalie","DeCherney",0
"RA-19915","Russell Applegate","Consumer","Russell","Applegate",0
"MH-17455","Mark Hamilton","Consumer","Mark","Hamilton",0
"SC-20020","Sam Craven","Consumer","Sam","Craven",0
"LC-17050","Liz Carlisle","Consumer","Liz","Carlisle",0
"GB-14575","Giulietta Baptist","Consumer","Giulietta","Baptist",0
"CT-11995","Carol Triggs","Consumer","Carol","Triggs",0
"JK-16090","Juliana Krohn","Consumer","Juliana","Krohn",0
"JD-15790","John Dryer","Consumer","John","Dryer",0
"BS-11755","Bruce Stewart","Consumer","Bruce","Stewart",0
"FM-14380","Fred McMath","Consumer","Fred","McMath",0
"TC-21295","Toby Carlisle","Consumer","Toby","Carlisle",0
"BG-11035","Barry Gonzalez","Consumer","Barry","Gonzalez",0
"TB-21055","Ted Butterfield","Consumer","Ted","Butterfield",0
"BD-11500","Bradley Drucker","Consumer","Bradley","Drucker",0
"AA-10375","Allen Armold","Consumer","Allen","Armold",0
"RK-19300","Ralph Kennedy","Consumer","Ralph","Kennedy",0
"EH-13990","Erica Hackney","Consumer","Erica","Hackney",0
"RH-19600","Rob Haberlin","Consumer","Rob","Haberlin",0
"TB-21280","Toby Braunhardt","Consumer","Toby","Braunhardt",0
"CM-12160","Charles McCrossin","Consumer","Charles","McCrossin",0
"DV-13465","Dianna Vittorini","Consumer","Dianna","Vittorini",0
"AG-10330","Alex Grayson","Consumer","Alex","Grayson",0
"NP-18670","Nora Paige","Consumer","Nora","Paige",0
"AB-10150","Aimee Bixby","Consumer","Aimee","Bixby",0
"CA-12775","Cynthia Arntzen","Consumer","Cynthia","Arntzen",0
"JF-15415","Jennifer Ferguson","Consumer","Jennifer","Ferguson",0
"CC-12670","Craig Carreira","Consumer","Craig","Carreira",0
"DC-13285","Debra Catini","Consumer","Debra","Catini",0
"JK-15730","Joe Kamberova","Consumer","Joe","Kamberova",0
"SC-20800","Stuart Calhoun","Consumer","Stuart","Calhoun",0
"TP-21130","Theone Pippenger","Consumer","Theone","Pippenger",0
"FH-14350","Fred Harton","Consumer","Fred","Harton",0
"EC-14050","Erin Creighton","Consumer","Erin","Creighton",0
"NP-18700","Nora Preis","Consumer","Nora","Preis",0
"KA-16525","Kelly Andreada","Consumer","Kelly","Andreada",0
"TS-21655","Trudy Schmidt","Consumer","Trudy","Schmidt",0
"MM-18055","Michelle Moray","Consumer","Michelle","Moray",0
"MB-18085","Mick Brown","Consumer","Mick","Brown",0
"NC-18340","Nat Carroll","Consumer","Nat","Carroll",0
"TB-21400","Tom Boeckenhauer","Consumer","Tom","Boeckenhauer",0
"EP-13915","Emily Phan","Consumer","Emily","Phan",0
"PJ-19015","Pauline Johnson","Consumer","Pauline","Johnson",0
"LW-17215","Luke Weiss","Consumer","Luke","Weiss",0
"EJ-14155","Eva Jacobs","Consumer","Eva","Jacobs",0
"PW-19240","Pierre Wener","Consumer","Pierre","Wener",0
"JK-15205","Jamie Kunitz","Consumer","Jamie","Kunitz",0
"DB-13060","Dave Brooks","Consumer","Dave","Brooks",0
"SF-20200","Sarah Foster","Consumer","Sarah","Foster",0
"JM-15865","John Murray","Consumer","John","Murray",0
"EH-14185","Evan Henry","Consumer","Evan","Henry",0
"SO-20335","Sean O'Donnell","Consumer","Sean","O'Donnell",0
"MS-17770","Maxwell Schwartz","Consumer","Maxwell","Schwartz",0
"RC-19960","Ryan Crowe","Consumer","Ryan","Crowe",0
"AG-10270","Alejandro Grove","Consumer","Alejandro","Grove",0
"JK-15625","Jim Karlsson","Consumer","Jim","Karlsson",0
"KH-16360","Katherine Hughes","Consumer","Katherine","Hughes",0
"MW-18220","Mitch Webber","Consumer","Mitch","Webber",0
"KB-16315","Karl Braun","Consumer","Karl","Braun",0
"SV-20365","Seth Vernon","Consumer","Seth","Vernon",0
"SV-20935","Susan Vittorini","Consumer","Susan","Vittorini",0
"AH-10585","Angele Hood","Consumer","Angele","Hood",0
"RD-19480","Rick Duston","Consumer","Rick","Duston",0
"JC-15775","John Castell","Consumer","John","Castell",0
"BN-11515","Bradley Nguyen","Consumer","Bradley","Nguyen",0
"TP-21415","Tom Prescott","Consumer","Tom","Prescott",0
"MM-17260","Magdelene Morse","Consumer","Magdelene","Morse",0
"GH-14425","Gary Hwang","Consumer","Gary","Hwang",0
"AR-10570","Anemone Ratner","Consumer","Anemone","Ratner",0
"CM-12235","Chris McAfee","Consumer","Chris","McAfee",0
"AJ-10960","Astrea Jones","Consumer","Astrea","Jones",0
"CM-12385","Christopher Martinez","Consumer","Christopher","Martinez",0
"JR-15670","Jim Radford","Consumer","Jim","Radford",0
"JJ-15445","Jennifer Jackson","Consumer","Jennifer","Jackson",0
"JL-15235","Janet Lee","Consumer","Janet","Lee",0
"JK-15370","Jay Kimmel","Consumer","Jay","Kimmel",0
"AT-10735","Annie Thurman","Consumer","Annie","Thurman",0
"EB-14170","Evan Bailliet","Consumer","Evan","Bailliet",0
"EG-13900","Emily Grady","Consumer","Emily","Grady",0
"VD-21670","Valerie Dominguez","Consumer","Valerie","Dominguez",0
"Co-12640","Corey Lock","Consumer","Corey","Lock",0
"ST-20530","Shui Tom","Consumer","Shui","Tom",0
"KT-16480","Kean Thornton","Consumer","Kean","Thornton",0
"BM-11785","Bryan Mills","Consumer","Bryan","Mills",0
"PF-19120","Peter Fuller","Consumer","Peter","Fuller",0
"ME-17725","Max Engle","Consumer","Max","Engle",0
"DB-13405","Denny Blanton","Consumer","Denny","Blanton",0
"BF-11080","Bart Folk","Consumer","Bart","Folk",0
"EM-13960","Eric Murdock","Consumer","Eric","Murdock",0
"CC-12685","Craig Carroll","Consumer","Craig","Carroll",0
"AB-10105","Adrian Barton","Consumer","Adrian","Barton",0
"JD-16015","Joy Daniels","Consumer","Joy","Daniels",0
"SS-20875","Sung Shariari","Consumer","Sung","Shariari",0
"JH-15820","John Huston","Consumer","John","Huston",0
"BD-11770","Bryan Davis","Consumer","Bryan","Davis",0
"JL-15505","Jeremy Lonsdale","Consumer","Jeremy","Lonsdale",0
"BM-11140","Becky Martin","Consumer","Becky","Martin",0
"AW-10840","Anthony Witt","Consumer","Anthony","Witt",0
"MG-17695","Maureen Gnade","Consumer","Maureen","Gnade",0
"MC-18100","Mick Crebagga","Consumer","Mick","Crebagga",0
"TD-20995","Tamara Dahlen","Consumer","Tamara","Dahlen",0
"SG-20605","Speros Goranitis","Consumer","Speros","Goranitis",0
"AG-10390","Allen Goldenen","Consumer","Allen","Goldenen",0
"SK-19990","Sally Knutson","Consumer","Sally","Knutson",0
"EN-13780","Edward Nazzal","Consumer","Edward","Nazzal",0
"SC-20380","Shahid Collister","Consumer","Shahid","Collister",0
"TB-21520","Tracy Blumstein","Consumer","Tracy","Blumstein",0
"SW-20275","Scott Williamson","Consumer","Scott","Williamson",0
"RB-19570","Rob Beeghly","Consumer","Rob","Beeghly",0
"DC-12850","Dan Campbell","Consumer","Dan","Campbell",0
"AC-10450","Amy Cox","Consumer","Amy","Cox",0
"CS-11860","Cari Schnelling","Consumer","Cari","Schnelling",0
"LF-17185","Luke Foster","Consumer","Luke","Foster",0
"CJ-12010","Caroline Jumper","Consumer","Caroline","Jumper",0
"JM-15250","Janet Martin","Consumer","Janet","Martin",0
"DM-13015","Darrin Martin","Consumer","Darrin","Martin",0
"SM-20005","Sally Matthias","Consumer","Sally","Matthias",0
"RH-19495","Rick Hansen","Consumer","Rick","Hansen",0
