RegID,RegStatus,RegDate,CourseID,StudentID,CourseOffering.CourseID,CourseOffering.CourseName,CourseOffering.CourseDescription,CourseOffering.CourseType,Student.StudentID,Student.StudentName,Student.Semester,RegStatusFlag
1013,"Web Registered",2021-05-05 00:00:00.000,6002,158,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",158,"latroy abdeldayen",4,0
1230,"Web Registered",2021-05-05 00:00:00.000,6000,175,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",175,"latu abdula",1,0
1302,"Web Registered",2021-05-05 00:00:00.000,6003,291,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",291,"mondell renuka",3,0
1326,"Web Registered",2021-05-05 00:00:00.000,6000,155,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",155,"latronda abdel",2,0
1346,"Web Registered",2021-05-05 00:00:00.000,6000,392,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",392,"suresh tolin",3,0
1615,"Web Registered",2021-05-05 00:00:00.000,6000,285,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",285,"mond renton",3,0
1657,"Web Registered",2021-05-05 00:00:00.000,6002,150,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",150,"latrishia abbs",2,0
1665,"Web Registered",2021-05-05 00:00:00.000,6002,160,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",160,"latroyia abdella",1,0
1681,"Web Registered",2021-05-05 00:00:00.000,6003,321,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",321,"raequon repko",4,0
1820,"Web Registered",2021-05-05 00:00:00.000,6000,119,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",119,"Dom Toretto",1,0
1925,"Web Registered",2021-05-05 00:00:00.000,6003,100,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",100,"Yui Bi",1,0
1939,"Web Registered",2021-05-05 00:00:00.000,6003,311,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",311,"moneik repasky",3,0
1965,"Web Registered",2021-05-05 00:00:00.000,6003,331,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",331,"raethaniel rihan",3,0
2112,"Web Registered",2021-05-05 00:00:00.000,6002,188,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",188,"latwon candido",1,0
2122,"Web Registered",2021-05-05 00:00:00.000,6003,181,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",181,"latusha candela",1,0
