Person,Year,MonthNum,Month,Date,Present,Period
"Person1",2018,1,"January",2019-01-18 00:00:00.000,1,"2018Q1"
"Person1",2018,2,"February",2019-02-18 00:00:00.000,1,"2018Q1"
"Person1",2018,3,"March",2019-03-18 00:00:00.000,1,"2018Q1"
"Person1",2018,4,"April",2019-04-18 00:00:00.000,1,"2018Q2"
"Person1",2018,5,"May",2019-05-18 00:00:00.000,1,"2018Q2"
"Person1",2018,6,"June",2019-06-18 00:00:00.000,1,"2018Q2"
"Person1",2018,7,"July",2019-07-18 00:00:00.000,1,"2018Q3"
"Person1",2018,8,"August",2019-08-18 00:00:00.000,1,"2018Q3"
"Person1",2018,9,"September",2019-09-18 00:00:00.000,1,"2018Q3"
"Person1",2018,10,"October",2019-10-18 00:00:00.000,1,"2018Q4"
"Person1",2018,11,"November",2019-11-18 00:00:00.000,1,"2018Q4"
"Person1",2018,12,"December",2019-12-18 00:00:00.000,1,"2018Q4"
"Person1",2019,1,"January",2019-01-19 00:00:00.000,1,"2019Q1"
"Person1",2019,2,"February",2019-02-19 00:00:00.000,1,"2019Q1"
"Person1",2019,3,"March",2019-03-19 00:00:00.000,1,"2019Q1"
"Person1",2019,4,"April",2019-04-19 00:00:00.000,1,"2019Q2"
"Person1",2019,5,"May",2019-05-19 00:00:00.000,1,"2019Q2"
"Person1",2019,6,"June",2019-06-19 00:00:00.000,0,"2019Q2"
"Person1",2019,7,"July",2019-07-19 00:00:00.000,0,"2019Q3"
"Person1",2019,8,"August",2019-08-19 00:00:00.000,0,"2019Q3"
"Person1",2019,9,"September",2019-09-19 00:00:00.000,0,"2019Q3"
"Person1",2019,10,"October",2019-10-19 00:00:00.000,0,"2019Q4"
"Person1",2019,11,"November",2019-11-19 00:00:00.000,0,"2019Q4"
"Person1",2019,12,"December",2019-12-19 00:00:00.000,0,"2019Q4"
"Person2",2018,1,"January",2019-01-18 00:00:00.000,1,"2018Q1"
"Person2",2018,2,"February",2019-02-18 00:00:00.000,1,"2018Q1"
"Person2",2018,3,"March",2019-03-18 00:00:00.000,1,"2018Q1"
"Person2",2018,4,"April",2019-04-18 00:00:00.000,1,"2018Q2"
"Person2",2018,5,"May",2019-05-18 00:00:00.000,1,"2018Q2"
"Person2",2018,6,"June",2019-06-18 00:00:00.000,1,"2018Q2"
"Person2",2018,7,"July",2019-07-18 00:00:00.000,1,"2018Q3"
"Person2",2018,8,"August",2019-08-18 00:00:00.000,1,"2018Q3"
"Person2",2018,9,"September",2019-09-18 00:00:00.000,1,"2018Q3"
"Person2",2018,10,"October",2019-10-18 00:00:00.000,1,"2018Q4"
"Person2",2018,11,"November",2019-11-18 00:00:00.000,0,"2018Q4"
"Person2",2018,12,"December",2019-12-18 00:00:00.000,0,"2018Q4"
"Person2",2019,1,"January",2019-01-19 00:00:00.000,0,"2019Q1"
"Person2",2019,2,"February",2019-02-19 00:00:00.000,0,"2019Q1"
"Person2",2019,3,"March",2019-03-19 00:00:00.000,0,"2019Q1"
"Person2",2019,4,"April",2019-04-19 00:00:00.000,0,"2019Q2"
"Person2",2019,5,"May",2019-05-19 00:00:00.000,0,"2019Q2"
"Person2",2019,6,"June",2019-06-19 00:00:00.000,0,"2019Q2"
"Person2",2019,7,"July",2019-07-19 00:00:00.000,0,"2019Q3"
"Person2",2019,8,"August",2019-08-19 00:00:00.000,0,"2019Q3"
"Person2",2019,9,"September",2019-09-19 00:00:00.000,0,"2019Q3"
"Person2",2019,10,"October",2019-10-19 00:00:00.000,0,"2019Q4"
"Person2",2019,11,"November",2019-11-19 00:00:00.000,0,"2019Q4"
"Person2",2019,12,"December",2019-12-19 00:00:00.000,0,"2019Q4"
