CustomerID,FirstName,LastName,Gender,CustomerAddress,CustomerCity,CustomerRegion,CustomerPostalCode,CustomerCountry,CustomerPhone
"C101","Schmitt","Carine","Male","54 rue Royale","Lynwood","WA",90262,"USA","40.32.2555"
"C102","King","Jean","Male","8489 Strong St.","Las Vegas","NV",89108,"USA","7025551838"
"C103","Ferguson","Peter","Male","636 St Kilda Road","Bothell","WA",98012,"USA","03 9520 4555"
"C104","Labrune","Janine","Female","67, rue des Cinquante Otages","Bellevue","WA",98006,"USA","40.67.8555"
"C105","Bergulfsen","Jonas","Female","Erling Skakkes gate 78","Bellevue","WA",98006,"USA","07-98 9555"
"C106","Nelson","Susan","Female","5677 Strong St.","San Rafael","CA",94901,"USA","4155551450"
"C107","Piestrzeniewicz","Zbyszek","Male","ul. Filtrowa 68","Orange","CA",92867,"USA","(26) 642-7555"
"C108","Keitel","Roland","Male","Lyonerstr. 34","Auburn","AL",36830,"USA","+49 69 66 90 2555"
"C109","Murphy","Julie","Female","5557 North Pendale Street","San Francisco","CA",94112,"USA","6505555787"
"C110","Lee","Kwai","Male","897 Long Airport Avenue","NYC","NY",11368,"USA","2125557818"
"C111","Freyre","Diego","Male","C/ Moralzarzal 86","Redmond","WA",98052,"USA","(91) 555 94 44"
"C112","Berglund","Christina","Female","BerguvsvÃ¤gen  8","Napa","CA",94558,"USA","0921-12 3555"
"C113","Petersen","Jytte","Male","VinbÃ¦ltet 34","Los Angeles","CA",90011,"USA","31 12 3555"
"C114","Saveley","Mary","Female","2 rue du Commerce","Buffalo","NY",14215,"USA","78.32.5555"
"C115","Natividad","Eric","Male","Bronz Apt. 3/6 Tesvikiye","Seattle","WA",98199,"USA","+65 221 7555"
"C116","Young","Jeff","Male","4092 Furth Circle","NYC","NY",11368,"USA","2125557413"
"C117","Leong","Kelvin","Male","7586 Pompton St.","Allentown","PA",18102,"USA","2155551555"
"C118","Hashimoto","Juri","Female","9408 Furth Circle","Burlingame","CA",94010,"USA","6505556809"
"C119","Victorino","Wendy","Female","106 Linden Road Sandown","Los Angeles","CA",90011,"USA","+65 224 1555"
"C120","Oeztan","Veysel","Male","Brehmen St. 121","New York","NY",11368,"USA","+47 2267 3215"
"C121","Franco","Keith","Male","149 Spinnaker Dr.","New Haven","CT",6511,"USA","2035557845"
"C122","de Castro","Isabel","Female","Estrada da saÃºde n. 58","Renton","WA",98056,"USA","(1) 356-5555"
"C123","RancÃ©","Martine","Female","184 chaussÃ©e de Tournai","Seattle","WA",98199,"USA","20.16.1555"
"C124","Bertrand","Marie","Female","265 boulevard Charonne","Orange","CA",92867,"USA","(1) 42.34.2555"
"C125","Tseng","Jerry","Male","4658 Baden Av.","Cambridge","MA",2139,"USA","6175555555"
