first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,Age_Group,Full_name
"Morly","Genery","Male",69,"22/03/1970",52,"Structural Engineer","Property","Mass Customer","N","No",16,"14 Mccormick Park",2113,"NSW","Australia",11,1,1.71875,"50-59","Morly Genery"
"Rutledge","Hallt","Male",23,"06/10/1976",45,"Compensation Analyst","Financial Services","Mass Customer","N","No",8,"7 Nevada Crossing",2620,"NSW","Australia",7,6,1.671875,"40-49","Rutledge Hallt"
"Duff","Karlowicz","Male",50,"28/04/1972",49,"Speech Pathologist","Manufacturing","Mass Customer","N","Yes",5,"717 West Drive",2200,"NSW","Australia",10,8,1.65625,"40-49","Duff Karlowicz"
"Olag","","Male",60,"13/05/1990",31,"Human Resources Manager","Telecommunications","Mass Customer","N","No",9,"0484 North Avenue",2032,"NSW","Australia",11,13,1.609375,"30-39","Olag "
"Melba","Spellacy","Female",38,"09/12/1976",45,"VP Marketing","Health","Mass Customer","N","No",4,"0591 Anzinger Circle",2232,"NSW","Australia",10,14,1.59375,"40-49","Melba Spellacy"
"Teddie","Burchill","Male",11,"21/12/1968",53,"Programmer I","Manufacturing","Mass Customer","N","Yes",13,"321 Raven Plaza",2161,"NSW","Australia",9,21,1.515625,"50-59","Teddie Burchill"
"Gaston","Dallaghan","Male",44,"29/09/1993",28,"Financial Analyst","Financial Services","Mass Customer","N","Yes",8,"656 Fuller Street",2783,"NSW","Australia",7,21,1.515625,"20-29","Gaston Dallaghan"
"Dyane","Burwell","Female",19,"27/06/1952",69,"Engineer II","Retail","Mass Customer","N","Yes",7,"51 Hooker Court",2640,"NSW","Australia",2,26,1.46875,"60-69","Dyane Burwell"
"Brien","Heaton","Male",70,"28/11/1951",70,"Clinical Specialist","Health","Mass Customer","N","Yes",12,"8 Novick Trail",2470,"NSW","Australia",2,32,1.453125,"70-79","Brien Heaton"
"Sybilla","MacCart","Female",88,"15/01/1987",35,"Paralegal","Financial Services","Mass Customer","N","Yes",7,"74 Welch Pass",2620,"NSW","Australia",7,32,1.453125,"30-39","Sybilla MacCart"
"Neile","Argent","Female",79,"25/10/1946",75,"N/A","Retail","Mass Customer","N","No",8,"2548 Arrowood Pass",2024,"NSW","Australia",10,42,1.421875,"70-79","Neile Argent"
"Thaxter","Kingsbury","Male",12,"03/05/1950",71,"Product Engineer","Argiculture","Mass Customer","N","No",20,"3 Vermont Lane",2067,"NSW","Australia",12,50,1.40625,"70-79","Thaxter Kingsbury"
"Odessa","Mc Andrew","Female",97,"01/12/1981",40,"N/A","Property","Mass Customer","N","No",8,"31756 Meadow Valley Lane",2232,"NSW","Australia",10,54,1.38125,"40-49","Odessa Mc Andrew"
"Martelle","Tuppeny","Female",52,"03/02/1981",41,"Marketing Assistant","Manufacturing","Mass Customer","N","No",9,"261 Grayhawk Way",2226,"NSW","Australia",10,54,1.38125,"40-49","Martelle Tuppeny"
"Briant","Ladley","Male",75,"17/12/1979",42,"Recruiter","Argiculture","Mass Customer","N","No",12,"2 Schlimgen Terrace",2750,"NSW","Australia",8,57,1.375,"40-49","Briant Ladley"
"Jedediah","Kedie","Male",31,"29/12/1971",50,"Developer I","Argiculture","Mass Customer","N","Yes",9,"283 Acker Drive",2763,"NSW","Australia",9,62,1.36796875,"50-59","Jedediah Kedie"
"Bessie","Roscow","Female",78,"04/08/1994",27,"GIS Technical Architect","Financial Services","Mass Customer","N","No",9,"4185 Florence Trail",2121,"NSW","Australia",10,72,1.35,"20-29","Bessie Roscow"
"Tobias","Woodhams","Male",0,"15/04/1961",61,"Research Nurse","Health","Mass Customer","N","No",17,"4 Valley Edge Plaza",2759,"NSW","Australia",9,77,1.34140625,"60-69","Tobias Woodhams"
"Chanda","Mensler","Female",15,"14/01/1972",50,"Computer Systems Analyst IV","Manufacturing","Mass Customer","N","Yes",13,"0 Mockingbird Plaza",2212,"NSW","Australia",10,78,1.3375,"50-59","Chanda Mensler"
"Sumner","Carrivick","Male",53,"09/04/1995",27,"Desktop Support Technician","Manufacturing","Mass Customer","N","No",15,"5 4th Center",2097,"NSW","Australia",12,78,1.3375,"20-29","Sumner Carrivick"
"Valerie","Pickover","Female",34,"08/09/1965",56,"Editor","Financial Services","Mass Customer","N","No",9,"92214 Spenser Road",2756,"NSW","Australia",8,78,1.3375,"50-59","Valerie Pickover"
"Esther","Rooson","Female",14,"22/02/1981",41,"N/A","Financial Services","Mass Customer","N","No",5,"5186 Main Trail",2046,"NSW","Australia",9,78,1.3375,"40-49","Esther Rooson"
"Ossie","Midden","Male",49,"10/02/1950",72,"Physical Therapy Assistant","Manufacturing","Mass Customer","N","Yes",14,"4915 Debra Center",2479,"NSW","Australia",9,89,1.3125,"70-79","Ossie Midden"
"Patricia","Everix","Female",34,"19/02/1978",44,"Director of Sales","Health","Mass Customer","N","No",19,"91164 Washington Terrace",2263,"NSW","Australia",7,89,1.3125,"40-49","Patricia Everix"
"Andromache","Bonafacino","Female",84,"01/09/1977",44,"N/A","Retail","Mass Customer","N","No",11,"74 Carpenter Street",2015,"NSW","Australia",9,89,1.3125,"40-49","Andromache Bonafacino"
"Reynold","Elman","Male",19,"18/01/1940",82,"Marketing Manager","Manufacturing","Mass Customer","N","No",9,"966 Sunnyside Center",2390,"NSW","Australia",2,102,1.28828125,"80+","Reynold Elman"
"Jamie","Jiruca","Female",21,"16/06/1963",58,"Recruiting Manager","Argiculture","Mass Customer","N","No",18,"5013 Erie Crossing",2230,"NSW","Australia",9,104,1.2875,"50-59","Jamie Jiruca"
"Aridatha","Sephton","Female",95,"22/10/1961",60,"Human Resources Assistant II","N/A","Mass Customer","N","No",5,"422 Forster Circle",2340,"NSW","Australia",1,104,1.2875,"60-69","Aridatha Sephton"
