CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,CustomerCity
11400,"Franklin","Raji","Franklin Raji","MALE",2018-07-15 00:00:00.000,"London"
11408,"Darren","Gill","Darren Gill","MALE",2020-03-05 00:00:00.000,"London"
11475,"Cesar","Subram","Cesar Subram","MALE",2020-04-23 00:00:00.000,"London"
11488,"Jermaine","Lopez","Jermaine Lopez","MALE",2018-10-28 00:00:00.000,"London"
11491,"Andre","Perez","Andre Perez","MALE",2018-11-07 00:00:00.000,"London"
11563,"Cesar","Srini","Cesar Srini","MALE",2020-07-05 00:00:00.000,"London"
11603,"Geoffrey","Gonzalez","Geoffrey Gonzalez","MALE",2019-01-18 00:00:00.000,"London"
12210,"Alan","He","Alan He","MALE",2019-03-15 00:00:00.000,"London"
12233,"Jerry","Yuan","Jerry Yuan","MALE",2021-01-17 00:00:00.000,"London"
12239,"Alberto","Ramos","Alberto Ramos","MALE",2019-03-23 00:00:00.000,"London"
12271,"Tyrone","Hernandez","Tyrone Hernandez","MALE",2019-04-11 00:00:00.000,"London"
12294,"Shane","Kovar","Shane Kovar","MALE",2020-05-22 00:00:00.000,"London"
12304,"Alejandro","Zhou","Alejandro Zhou","MALE",2020-09-02 00:00:00.000,"London"
12311,"Stanley","Weber","Stanley Weber","MALE",2020-09-17 00:00:00.000,"London"
12316,"Alejandro","Luo","Alejandro Luo","MALE",2019-05-30 00:00:00.000,"London"
12328,"Eugene","Zhao","Eugene Zhao","MALE",2019-06-04 00:00:00.000,"London"
12334,"Roy","Jimenez","Roy Jimenez","MALE",2020-06-13 00:00:00.000,"London"
12381,"Johnny","Lal","Johnny Lal","MALE",2019-06-19 00:00:00.000,"London"
12402,"Albert","Moreno","Albert Moreno","MALE",2019-06-08 00:00:00.000,"London"
12551,"Julio","Ramos","Julio Ramos","MALE",2020-08-09 00:00:00.000,"London"
12559,"Emmanuel","Lopez","Emmanuel Lopez","MALE",2019-07-23 00:00:00.000,"London"
12564,"Marshall","Yang","Marshall Yang","MALE",2020-03-07 00:00:00.000,"London"
12566,"Omar","Yang","Omar Yang","MALE",2020-05-31 00:00:00.000,"London"
12595,"Mathew","Blanco","Mathew Blanco","MALE",2020-03-08 00:00:00.000,"London"
12602,"Francisco","Srini","Francisco Srini","MALE",2020-02-20 00:00:00.000,"London"
12622,"Micheal","Rubio","Micheal Rubio","MALE",2019-08-19 00:00:00.000,"London"
12634,"Derrick","Ruiz","Derrick Ruiz","MALE",2019-08-29 00:00:00.000,"London"
12637,"Leonard","Nath","Leonard Nath","MALE",2019-09-08 00:00:00.000,"London"
13404,"Kelvin","Yang","Kelvin Yang","MALE",2019-12-16 00:00:00.000,"London"
13516,"Harold","Ray","Harold Ray","MALE",2020-07-22 00:00:00.000,"London"
13517,"Nicolas","Sharma","Nicolas Sharma","MALE",2019-12-22 00:00:00.000,"London"
13539,"Roger","Guo","Roger Guo","MALE",2020-08-05 00:00:00.000,"London"
13561,"Gary","Navarro","Gary Navarro","MALE",2019-11-29 00:00:00.000,"London"
13604,"Nuan","Zheng","Nuan Zheng","MALE",2020-10-10 00:00:00.000,"London"
13609,"Ramon","Yang","Ramon Yang","MALE",2020-08-07 00:00:00.000,"London"
13675,"Stanley","Sai","Stanley Sai","MALE",2020-06-16 00:00:00.000,"London"
13693,"Dominic","Gonzalez","Dominic Gonzalez","MALE",2018-02-18 00:00:00.000,"London"
13765,"Jaime","Shen","Jaime Shen","MALE",2018-03-02 00:00:00.000,"London"
13777,"Manuel","Perez","Manuel Perez","MALE",2018-03-26 00:00:00.000,"London"
13785,"Clayton","She","Clayton She","MALE",2020-04-29 00:00:00.000,"London"
13820,"Danny","Alvarez","Danny Alvarez","MALE",2018-03-28 00:00:00.000,"London"
14156,"Preston","Gonzalez","Preston Gonzalez","MALE",2020-02-10 00:00:00.000,"London"
14157,"Willie","Xu","Willie Xu","MALE",2018-04-10 00:00:00.000,"London"
14195,"Clinton","Blanco","Clinton Blanco","MALE",2018-04-22 00:00:00.000,"London"
14427,"Emmanuel","Patel","Emmanuel Patel","MALE",2018-04-06 00:00:00.000,"London"
14540,"Randy","Lin","Randy Lin","MALE",2020-03-09 00:00:00.000,"London"
14697,"Nelson","Jimenez","Nelson Jimenez","MALE",2018-05-29 00:00:00.000,"London"
14712,"Eugene","Liu","Eugene Liu","MALE",2018-05-20 00:00:00.000,"London"
14776,"Ronald","Arthur","Ronald Arthur","MALE",2018-06-22 00:00:00.000,"London"
