CustomerKey,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full Name,user name,Target Customer,birth year,age
21218,1963-06-13 00:00:00.000,"S","M","wyatt21@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. WYATT RODRIGUEZ","wyatt21","yes",1963,59
17623,1968-03-18 00:00:00.000,"S","M","austin34@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. AUSTIN ROBINSON","austin34","yes",1968,54
21213,1964-11-16 00:00:00.000,"S","M","peter25@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. PETER BLACK","peter25","yes",1964,58
13127,1964-12-10 00:00:00.000,"S","M","shane18@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. SHANE FERNANDEZ","shane18","yes",1964,58
21184,1968-08-17 00:00:00.000,"S","M","harold16@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. HAROLD RODRIGUEZ","harold16","yes",1968,54
21186,1965-02-04 00:00:00.000,"S","M","randall16@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. RANDALL VAZQUEZ","randall16","yes",1965,57
28923,1975-08-07 00:00:00.000,"S","M","roberto3@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. ROBERTO HERNANDEZ","roberto3","yes",1975,47
21190,1963-02-23 00:00:00.000,"S","M","pablo0@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. PABLO ROVIRA DIEZ","pablo0","yes",1963,59
21209,1965-06-19 00:00:00.000,"S","M","randall7@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. RANDALL MORENO","randall7","yes",1965,57
21212,1964-11-23 00:00:00.000,"S","M","nicolas6@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. NICOLAS LAL","nicolas6","yes",1964,58
15219,1965-02-22 00:00:00.000,"S","M","clayton2@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. CLAYTON CHEN","clayton2","yes",1965,57
15221,1964-03-11 00:00:00.000,"S","M","troy7@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. TROY ARUN","troy7","yes",1964,58
24894,1974-04-25 00:00:00.000,"S","M","jaime33@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. JAIME JAI","jaime33","yes",1974,48
18614,1968-05-15 00:00:00.000,"S","M","seth28@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. SETH WRIGHT","seth28","yes",1968,54
18613,1968-11-14 00:00:00.000,"S","M","cody15@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. CODY MURPHY","cody15","yes",1968,54
28719,1968-04-18 00:00:00.000,"S","M","neil13@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. NEIL VAZQUEZ","neil13","yes",1968,54
24892,1975-04-24 00:00:00.000,"S","M","arthur28@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. ARTHUR ALVAREZ","arthur28","yes",1975,47
15220,1964-09-10 00:00:00.000,"S","M","micah14@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. MICAH LIU","micah14","yes",1964,58
15224,1964-02-09 00:00:00.000,"S","M","pedro31@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. PEDRO GUTIERREZ","pedro31","yes",1964,58
11916,1965-09-07 00:00:00.000,"S","M","joe14@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. JOE RANA","joe14","yes",1965,57
25214,1963-02-04 00:00:00.000,"S","M","roger43@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. ROGER CHANDER","roger43","yes",1963,59
24887,1975-05-05 00:00:00.000,"S","M","micah0@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. MICAH SUN","micah0","yes",1975,47
24888,1975-01-11 00:00:00.000,"S","M","roy9@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. ROY SRINI","roy9","yes",1975,47
27148,1965-12-21 00:00:00.000,"S","M","edwin15@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. EDWIN ZHU","edwin15","yes",1965,57
15121,1976-06-17 00:00:00.000,"S","M","brendan11@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. BRENDAN ANDERSEN","brendan11","yes",1976,46
28322,1964-01-23 00:00:00.000,"S","M","willie3@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. WILLIE CHEN","willie3","yes",1964,58
28323,1963-06-02 00:00:00.000,"S","M","nathan66@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. NATHAN MOORE","nathan66","yes",1963,59
24591,1974-05-11 00:00:00.000,"S","M","derek11@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. DEREK PAL","derek11","yes",1974,48
21876,1976-04-26 00:00:00.000,"S","M","philip20@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. PHILIP RUBIO","philip20","yes",1976,46
21875,1976-08-17 00:00:00.000,"S","M","cedric35@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. CEDRIC NARA","cedric35","yes",1976,46
18292,1964-08-09 00:00:00.000,"S","M","louis21@adventure-works.com",70000,0,"Bachelors","Professional","N","MR. LOUIS TANG","louis21","yes",1964,58
