Sales Person,Quota,TimePeriod,NinetyPercentQuota,SeventyPercentQuota,MaxQuota
Jae Pak,706400,2016Q1,635760,494480,1059600
Stephen Jiang,85600,2015Q1,77040,59920,128400
David Campbell,187200,2016Q1,168480,131040,280800
Shu Ito,394400,2014Q2,354960,276080,591600
Lynn Tsoflias,382400,2015Q3,344160,267680,573600
Garrett Vargas,263200,2014Q4,236880,184240,394800
Stephen Jiang,149600,2016Q2,134640,104720,224400
Pamela Ansman-Wolfe,180800,2014Q4,162720,126560,271200
Pamela Ansman-Wolfe,152000,2015Q1,136800,106400,228000
Michael Blythe,679200,2016Q1,611280,475440,1018800
Tsvi Reiter,733600,2013Q4,660240,513520,1100400
Jillian Carson,936800,2015Q3,843120,655760,1405200
Shu Ito,439200,2013Q4,395280,307440,658800
Tsvi Reiter,517600,2014Q4,465840,362320,776400
David Campbell,386400,2014Q3,347760,270480,579600
Jae Pak,1518400,2014Q3,1366560,1062880,2277600
David Campbell,322400,2016Q2,290160,225680,483600
Rachel Valdez,582400,2015Q3,524160,407680,873600
Ranjit Varkey Chudukatil,565600,2016Q1,509040,395920,848400
Stephen Jiang,22400,2013Q3,20160,15680,33600
Garrett Vargas,191200,2015Q1,172080,133840,286800
Tsvi Reiter,535200,2013Q3,481680,374640,802800
Pamela Ansman-Wolfe,132000,2013Q3,118800,92400,198000
Linda Mitchell,624800,2013Q4,562320,437360,937200
Jae Pak,1009600,2014Q4,908640,706720,1514400
Shu Ito,579200,2016Q2,521280,405440,868800
Michael Blythe,955200,2015Q2,859680,668640,1432800
Shu Ito,827200,2014Q3,744480,579040,1240800
Garrett Vargas,312000,2016Q2,280800,218400,468000
Tete Mensa-Annan,363200,2016Q1,326880,254240,544800
José Saraiva,455200,2016Q1,409680,318640,682800
Garrett Vargas,362400,2015Q4,326160,253680,543600
Stephen Jiang,56000,2014Q3,50400,39200,84000
Jillian Carson,1095200,2015Q2,985680,766640,1642800
Garrett Vargas,195200,2013Q3,175680,136640,292800
Linda Mitchell,1020800,2015Q4,918720,714560,1531200
Michael Blythe,440000,2014Q2,396000,308000,660000
Linda Mitchell,1084000,2014Q3,975600,758800,1626000
Amy Alberts,147200,2015Q3,132480,103040,220800
Ranjit Varkey Chudukatil,726400,2016Q2,653760,508480,1089600
Garrett Vargas,212800,2014Q1,191520,148960,319200
Linda Mitchell,715200,2016Q1,643680,500640,1072800
Stephen Jiang,210400,2015Q3,189360,147280,315600
Linda Mitchell,1220000,2015Q3,1098000,854000,1830000
Garrett Vargas,224000,2016Q1,201600,156800,336000
José Saraiva,466400,2014Q1,419760,326480,699600
Jae Pak,1135200,2015Q4,1021680,794640,1702800
David Campbell,224000,2014Q1,201600,156800,336000
Tsvi Reiter,457600,2015Q2,411840,320320,686400
Amy Alberts,26400,2015Q1,23760,18480,39600
Michael Blythe,583200,2015Q1,524880,408240,874800
Michael Blythe,444800,2013Q4,400320,311360,667200
Tsvi Reiter,587200,2014Q3,528480,411040,880800
Jillian Carson,776800,2015Q4,699120,543760,1165200
José Saraiva,420000,2013Q3,378000,294000,630000
Garrett Vargas,272800,2014Q2,245520,190960,409200
Garrett Vargas,334400,2015Q2,300960,234080,501600
Linda Mitchell,899200,2016Q2,809280,629440,1348800
José Saraiva,396800,2014Q3,357120,277760,595200
Linda Mitchell,511200,2014Q2,460080,357840,766800
Jillian Carson,452000,2013Q3,406800,316400,678000
Jillian Carson,757600,2016Q2,681840,530320,1136400
Jillian Carson,676800,2014Q1,609120,473760,1015200
Lynn Tsoflias,336800,2016Q2,303120,235760,505200
Ranjit Varkey Chudukatil,1009600,2015Q3,908640,706720,1514400
Amy Alberts,88000,2015Q2,79200,61600,132000
Michael Blythe,293600,2013Q3,264240,205520,440400
Lynn Tsoflias,311200,2015Q4,280080,217840,466800
Shu Ito,376000,2015Q1,338400,263200,564000
David Campbell,180800,2013Q3,162720,126560,271200
Tete Mensa-Annan,243200,2015Q2,218880,170240,364800
Tete Mensa-Annan,412800,2015Q3,371520,288960,619200
Tsvi Reiter,641600,2014Q2,577440,449120,962400
Michael Blythe,401600,2014Q1,361440,281120,602400
Michael Blythe,695200,2016Q2,625680,486640,1042800
Garrett Vargas,433600,2014Q3,390240,303520,650400
Linda Mitchell,532000,2014Q1,478800,372400,798000
Shu Ito,547200,2015Q4,492480,383040,820800
David Campbell,272800,2014Q4,245520,190960,409200
David Campbell,213600,2014Q2,192240,149520,320400
Syed Abbas,105600,2015Q3,95040,73920,158400
Jae Pak,1204800,2015Q3,1084320,843360,1807200
Jae Pak,750400,2015Q1,675360,525280,1125600
José Saraiva,361600,2014Q4,325440,253120,542400
José Saraiva,565600,2015Q4,509040,395920,848400
Ranjit Varkey Chudukatil,323200,2015Q2,290880,226240,484800
Syed Abbas,20800,2016Q2,18720,14560,31200
Jillian Carson,571200,2016Q1,514080,399840,856800
Michael Blythe,1059200,2014Q4,953280,741440,1588800
Tete Mensa-Annan,304000,2015Q4,273600,212800,456000
Stephen Jiang,123200,2014Q4,110880,86240,184800
David Campbell,504800,2015Q3,454320,353360,757200
Jillian Carson,761600,2014Q2,685440,533120,1142400
Shu Ito,444000,2015Q2,399600,310800,666000
Syed Abbas,32000,2015Q4,28800,22400,48000
Tsvi Reiter,540000,2015Q4,486000,378000,810000
Tete Mensa-Annan,256800,2014Q4,231120,179760,385200
Tsvi Reiter,430400,2016Q1,387360,301280,645600
Michael Blythe,974400,2015Q4,876960,682080,1461600
Pamela Ansman-Wolfe,360000,2015Q4,324000,252000,540000
