EmployeeID,SSN,HospitalID,Name,DateOfBirth,ContactNumber,Department
20000,"-6711","H001","Tom",1980-01-11 00:00:00.000,"6171237231","Medical Staff"
20002,"-6711","H002","Dick",1981-02-12 00:00:00.000,"6173482389","Medical Staff"
20003,"-6711","H003","Harry",1982-03-13 00:00:00.000,"6178743275","Medical Staff"
20004,"-6711","H004","Swapnil",1983-04-14 00:00:00.000,"6170976574","Medical Staff"
20005,"-6711","H005","Richard",1984-05-15 00:00:00.000,"6179875637","Medical Staff"
20006,"-6711","H006","Nik",1985-06-16 00:00:00.000,"6178562362","Medical Staff"
20007,"-6711","H007","Paul",1986-07-17 00:00:00.000,"6173237685","Medical Staff"
20008,"-6713","H001","Mia",1987-08-18 00:00:00.000,"6176537582","Medical Staff"
20009,"-6729","H002","Clara",1988-09-19 00:00:00.000,"6177428432","Medical Staff"
20010,"-6640","H003","Mary",1989-10-20 00:00:00.000,"6177428434","Medical Staff"
20011,"-539","H003","Elizabeth",1990-11-21 00:00:00.000,"6177428435","Medical Staff"
20012,"-540","H001","Elizabeth",1990-11-21 00:00:00.000,"6177428436","Medical Staff"
20013,"-541","H002","Margaret",1983-12-22 00:00:00.000,"6178723623","Medical Staff"
20014,"-542","H003","Eliza",1985-01-18 00:00:00.000,"6176531234","Medical Staff"
20015,"-6711","H001","Isabella",2000-12-21 00:00:00.000,"6179876543","Admin"
20016,"-7713","H002","Zain",1999-03-23 00:00:00.000,"6171673852","Admin"
20017,"-8634","H003","David",1998-01-12 00:00:00.000,"6178725642","Admin"
20018,"-8745","H001","Heath",1997-02-23 00:00:00.000,"6172952658","Admin"
20019,"-2679","H002","Peter",1996-05-30 00:00:00.000,"6172366783","Admin"
20020,"-5700","H003","Lily",2001-08-11 00:00:00.000,"6176332378","Admin"
20021,"-8646","H004","Robben",1998-06-01 00:00:00.000,"6172386723","Admin"
