CustomerKey,Name,Birth Date,Marital Status,Gender,Yearly Income,Total Children,Children At Home,Education,Occupation,Continent,City,State,Address Line 1,Customer Type,CountryRegion
25,"Xie, Russell",1978-09-17 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","North America","Concord","California","8734 Oxford Place","Person","United States"
44,"Simmons, Nathan",1976-02-24 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","North America","Glendale","California","1170 Shaw Rd","Person","United States"
925,"Long, Ian",1979-10-25 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","North America","Novato","California","2389 E Eagle Peak Rd.","Person","United States"
939,"Alexander, Seth",1977-09-21 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","North America","Daly City","California","3842 Algiers Dr.","Person","United States"
940,"Washington, Kevin",1977-06-22 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","North America","Imperial Beach","California","9105 Jacobsen Street","Person","United States"
955,"Garcia, Joseph",1975-08-17 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","North America","Glendale","California","1220 Bradford Way","Person","United States"
956,"Green, Gabriel",1975-04-05 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","North America","Glendale","California","6991 Gloria Terr.","Person","United States"
2032,"Shan, Hunter",1977-02-16 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","North America","Lemon Grove","California","6671 Santa Barbara","Person","United States"
2034,"Gonzalez, Xavier",1976-11-20 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","North America","Oakland","California","8475 Riverwood Circle","Person","United States"
2985,"Richardson, Adrian",1979-03-08 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","North America","San Diego","California","3930 Sony Hill Circle","Person","United States"
2993,"Xie, Gregory",1978-06-06 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","North America","Burlingame","California","5055 Quiz St.","Person","United States"
2994,"Patterson, Zachary",1978-08-24 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","North America","Burlingame","California","7814 New Court","Person","United States"
3271,"Ross, James",1975-01-25 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","North America","La Jolla","California","3099 Morello Court","Person","United States"
