Index,DimensionName,DimensionValue
1,"Name","Klonk"
1,"Department","IT"
1,"Position","Business Analyst"
1,"Location","Airship HQ"
2,"Name","Bonk"
2,"Department","Sales"
2,"Position","Sales Director"
2,"Location","Airship HQ"
3,"Name","Breendonk"
3,"Department","Sales"
3,"Position","Sales Manager"
3,"Location","Airship HQ"
4,"Name","Monk"
4,"Department","Supply Chain"
4,"Position","Business Analyst"
4,"Location","Waterdeep Warehouse"
5,"Name","Chonk"
5,"Department","Supply Chain"
5,"Position","Supply Chain Director"
5,"Location","Waterdeep Warehouse"
