Name,Date Worked,Hours Worked
Cedric Daniels,2018-02-05 00:00:00.000,8
Bunk Moreland,2018-06-19 00:00:00.000,8
Avon Barksdale,2018-05-03 00:00:00.000,9
D'Angelo Barksdale,2018-04-03 00:00:00.000,9
Avon Barksdale,2018-03-06 00:00:00.000,7
Wee-Bey Brice,2018-01-17 00:00:00.000,7
Lester Freamon,2018-02-27 00:00:00.000,8
Marlo Stanfield,2018-02-28 00:00:00.000,7
Clay Davis,2018-01-05 00:00:00.000,9
Avon Barksdale,2018-02-26 00:00:00.000,7
Cedric Daniels,2018-04-05 00:00:00.000,7
Cedric Daniels,2018-01-17 00:00:00.000,8
Slim Charles,2018-02-13 00:00:00.000,8
Slim Charles,2018-04-27 00:00:00.000,8
Avon Barksdale,2018-06-06 00:00:00.000,8
Jimmy McNulty,2018-04-11 00:00:00.000,8
Bunk Moreland,2018-03-29 00:00:00.000,7
Cedric Daniels,2018-01-03 00:00:00.000,8
Wee-Bey Brice,2018-01-29 00:00:00.000,7
Kima Greggs,2018-06-19 00:00:00.000,7
Brother Mouzone,2018-02-27 00:00:00.000,7
Kima Greggs,2018-01-09 00:00:00.000,7
D'Angelo Barksdale,2018-03-26 00:00:00.000,9
Kima Greggs,2018-02-13 00:00:00.000,8
Jimmy McNulty,2018-05-07 00:00:00.000,9
Cedric Daniels,2018-01-16 00:00:00.000,9
Rhonda Pearlman,2018-01-23 00:00:00.000,7
Cedric Daniels,2018-02-06 00:00:00.000,7
Kima Greggs,2018-02-23 00:00:00.000,8
Bunk Moreland,2018-02-19 00:00:00.000,7
Clay Davis,2018-03-16 00:00:00.000,8
Avon Barksdale,2018-06-19 00:00:00.000,8
Marlo Stanfield,2018-02-27 00:00:00.000,9
D'Angelo Barksdale,2018-03-06 00:00:00.000,8
Clay Davis,2018-02-20 00:00:00.000,9
Cedric Daniels,2018-05-31 00:00:00.000,9
Kima Greggs,2018-03-01 00:00:00.000,7
Brother Mouzone,2018-03-15 00:00:00.000,9
Bunk Moreland,2018-04-02 00:00:00.000,9
Slim Charles,2018-04-03 00:00:00.000,9
Omar Little,2018-05-07 00:00:00.000,8
Jimmy McNulty,2018-02-06 00:00:00.000,8
Bunk Moreland,2018-03-30 00:00:00.000,7
D'Angelo Barksdale,2018-03-23 00:00:00.000,9
Omar Little,2018-05-24 00:00:00.000,9
Omar Little,2018-04-16 00:00:00.000,9
Rhonda Pearlman,2018-05-02 00:00:00.000,8
Clay Davis,2018-05-23 00:00:00.000,9
Kima Greggs,2018-04-17 00:00:00.000,8
Omar Little,2018-01-04 00:00:00.000,8
Jimmy McNulty,2018-01-23 00:00:00.000,8
Slim Charles,2018-05-24 00:00:00.000,7
Brother Mouzone,2018-03-27 00:00:00.000,9
Stringer Bell,2018-06-07 00:00:00.000,9
Omar Little,2018-03-07 00:00:00.000,7
Stringer Bell,2018-02-26 00:00:00.000,7
D'Angelo Barksdale,2018-04-11 00:00:00.000,7
Marlo Stanfield,2018-04-09 00:00:00.000,7
Clay Davis,2018-04-18 00:00:00.000,7
Lester Freamon,2018-05-17 00:00:00.000,8
Slim Charles,2018-05-03 00:00:00.000,8
Cedric Daniels,2018-01-01 00:00:00.000,8
Clay Davis,2018-03-23 00:00:00.000,8
Bunk Moreland,2018-06-28 00:00:00.000,8
Jimmy McNulty,2018-02-02 00:00:00.000,9
Brother Mouzone,2018-02-19 00:00:00.000,7
Cedric Daniels,2018-01-04 00:00:00.000,7
Slim Charles,2018-05-17 00:00:00.000,9
Slim Charles,2018-06-21 00:00:00.000,8
Slim Charles,2018-04-13 00:00:00.000,9
Kima Greggs,2018-04-16 00:00:00.000,8
Rhonda Pearlman,2018-01-03 00:00:00.000,9
Marlo Stanfield,2018-02-26 00:00:00.000,8
Kima Greggs,2018-05-02 00:00:00.000,7
Marlo Stanfield,2018-04-24 00:00:00.000,9
Rhonda Pearlman,2018-04-10 00:00:00.000,9
Stringer Bell,2018-05-10 00:00:00.000,8
Rhonda Pearlman,2018-03-13 00:00:00.000,8
Omar Little,2018-06-18 00:00:00.000,7
Bunk Moreland,2018-01-25 00:00:00.000,9
Clay Davis,2018-05-10 00:00:00.000,8
Lester Freamon,2018-06-22 00:00:00.000,8
Marlo Stanfield,2018-06-27 00:00:00.000,7
Brother Mouzone,2018-04-13 00:00:00.000,9
Lester Freamon,2018-02-12 00:00:00.000,9
Clay Davis,2018-01-17 00:00:00.000,9
Cedric Daniels,2018-02-01 00:00:00.000,7
Avon Barksdale,2018-03-22 00:00:00.000,9
Jimmy McNulty,2018-01-31 00:00:00.000,9
Kima Greggs,2018-03-29 00:00:00.000,9
Marlo Stanfield,2018-06-28 00:00:00.000,7
Bunk Moreland,2018-05-04 00:00:00.000,8
Cedric Daniels,2018-01-31 00:00:00.000,9
Brother Mouzone,2018-05-08 00:00:00.000,9
Bunk Moreland,2018-03-13 00:00:00.000,7
Lester Freamon,2018-02-02 00:00:00.000,8
D'Angelo Barksdale,2018-06-18 00:00:00.000,8
Cedric Daniels,2018-04-06 00:00:00.000,8
Bunk Moreland,2018-03-05 00:00:00.000,8
Jimmy McNulty,2018-05-21 00:00:00.000,7
