customer_id,customer_acct_num,first_name,last_name,customer_address,customer_city,customer_state_province,customer_postal_code,customer_country,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,acct_open_date,member_card,occupation,homeowner
213,89905924797,"David","Watson","8157 W. Buchanan","Woodland Hills","CA",25400,"USA",1915-12-19 00:00:00.000,"S","$30K - $50K","F",3,0,"High School Degree",1994-11-22 00:00:00.000,"Bronze","Manual","Y"
227,90065194368,"Michael","Suggs","40 Ellis St.","Burbank","CA",17728,"USA",1963-10-10 00:00:00.000,"S","$30K - $50K","F",3,0,"High School Degree",1994-05-18 00:00:00.000,"Bronze","Manual","Y"
246,90350758433,"Rita","Santry","207 Barquentine Court","Lincoln Acres","CA",72730,"USA",1924-08-18 00:00:00.000,"S","$30K - $50K","M",4,0,"High School Degree",1992-05-07 00:00:00.000,"Bronze","Manual","Y"
255,90442248582,"Jacky","Camille","3919 El Pintado Road","Torrance","CA",71696,"USA",1965-03-15 00:00:00.000,"S","$30K - $50K","M",2,0,"High School Degree",1992-01-03 00:00:00.000,"Bronze","Manual","Y"
258,90463679432,"John","Minker","1061 Buskrik Avenue","Coronado","CA",95593,"USA",1912-01-12 00:00:00.000,"S","$30K - $50K","M",2,0,"High School Degree",1991-06-19 00:00:00.000,"Bronze","Manual","Y"
273,90642099976,"Jennifer","Confetti","2775 Robinson Ave.","Long Beach","CA",89348,"USA",1925-08-02 00:00:00.000,"S","$30K - $50K","F",1,0,"High School Degree",1991-07-27 00:00:00.000,"Bronze","Manual","Y"
289,90872421300,"Bertha","Jameson","3029 Heather Leaf Ln.","Los Angeles","CA",31309,"USA",1948-06-09 00:00:00.000,"S","$30K - $50K","F",3,0,"High School Degree",1994-11-16 00:00:00.000,"Bronze","Manual","N"
294,90917686200,"Michelle","Adams","9558 Orchard View Ave.","Imperial Beach","CA",32723,"USA",1935-04-23 00:00:00.000,"S","$30K - $50K","F",0,0,"High School Degree",1993-03-14 00:00:00.000,"Bronze","Manual","N"
311,91123164892,"Janice","Vrins","1055 Horseshoe Road","Pomona","CA",43683,"USA",1965-07-19 00:00:00.000,"S","$30K - $50K","M",3,0,"High School Degree",1993-03-27 00:00:00.000,"Bronze","Manual","Y"
313,91158838272,"Ole","Weldon","5754 Glenhaven Ave","Palo Alto","CA",30993,"USA",1931-06-21 00:00:00.000,"S","$30K - $50K","M",3,0,"High School Degree",1992-05-05 00:00:00.000,"Bronze","Manual","N"
331,91323767304,"Lanna","Slaven","5118 Boxwood Dr.","Mill Valley","CA",71789,"USA",1956-02-12 00:00:00.000,"S","$30K - $50K","M",1,0,"High School Degree",1994-08-07 00:00:00.000,"Bronze","Manual","Y"
390,92005987200,"Paul","Alcorn","4822 Center Street","Fremont","CA",18956,"USA",1973-03-26 00:00:00.000,"S","$30K - $50K","M",3,0,"High School Degree",1994-06-26 00:00:00.000,"Bronze","Manual","N"
394,92050951719,"Jared","Bustamante","4222 San Jose Dr.","Concord","CA",44256,"USA",1910-02-17 00:00:00.000,"S","$30K - $50K","M",2,0,"High School Degree",1990-02-09 00:00:00.000,"Bronze","Manual","N"
425,92441642284,"Margaret","Adams","8452 Dewing Avenue","San Carlos","CA",64065,"USA",1979-05-02 00:00:00.000,"S","$30K - $50K","M",3,0,"High School Degree",1992-03-15 00:00:00.000,"Bronze","Manual","N"
457,92920920848,"Ethel","Porter","2863 Polk Street","Torrance","CA",35114,"USA",1929-11-24 00:00:00.000,"S","$30K - $50K","F",0,0,"High School Degree",1993-04-27 00:00:00.000,"Bronze","Manual","Y"
482,93154197931,"Vanessa","Tench","6621 Polaris Dr.","Imperial Beach","CA",69245,"USA",1930-01-10 00:00:00.000,"S","$30K - $50K","M",4,0,"High School Degree",1994-03-02 00:00:00.000,"Bronze","Manual","N"
513,93673430681,"Lenore","Yasi","1245 West Hookston Road","San Jose","CA",95838,"USA",1932-04-07 00:00:00.000,"S","$30K - $50K","M",1,0,"High School Degree",1994-01-25 00:00:00.000,"Bronze","Manual","Y"
574,94377177953,"Catherine","Whitney","1239 Linnet Court","La Jolla","CA",76380,"USA",1966-05-18 00:00:00.000,"S","$30K - $50K","F",2,0,"High School Degree",1993-06-04 00:00:00.000,"Bronze","Manual","N"
577,94402787700,"Stacey","Cereghino","852 Santa Maria","Coronado","CA",47561,"USA",1943-08-27 00:00:00.000,"S","$30K - $50K","M",1,0,"High School Degree",1992-03-05 00:00:00.000,"Bronze","Manual","N"
601,94717700500,"Marlin","Coriell","4824 Discovery Bay","Beverly Hills","CA",75442,"USA",1933-03-15 00:00:00.000,"S","$30K - $50K","M",4,0,"High School Degree",1992-05-17 00:00:00.000,"Bronze","Manual","N"
755,96895353794,"Deanna","Sabella","8942 Sierra Road","Woodland Hills","CA",23993,"USA",1916-06-13 00:00:00.000,"S","$30K - $50K","F",3,0,"High School Degree",1992-09-08 00:00:00.000,"Bronze","Manual","N"
761,96979832649,"Kimberly","Malmendier","6206 Heavenly Drive","West Covina","CA",41635,"USA",1925-04-18 00:00:00.000,"S","$30K - $50K","F",0,0,"High School Degree",1990-11-05 00:00:00.000,"Bronze","Manual","N"
796,97392292022,"Richard","Young","5634 Blue Ridge Drive","La Jolla","CA",78376,"USA",1941-05-17 00:00:00.000,"S","$30K - $50K","M",4,0,"High School Degree",1991-05-21 00:00:00.000,"Bronze","Manual","Y"
859,98214603700,"Joan","Bitler","2775 Delta View Ln.","Mill Valley","CA",73498,"USA",1942-11-10 00:00:00.000,"S","$30K - $50K","M",1,0,"High School Degree",1993-12-07 00:00:00.000,"Bronze","Manual","Y"
868,98372167348,"Nellie","Orando","7942 Palms","Lakewood","CA",25757,"USA",1963-08-17 00:00:00.000,"S","$30K - $50K","M",5,0,"High School Degree",1990-03-15 00:00:00.000,"Bronze","Manual","Y"
884,98581272363,"Joseph","Thompson","2099 San Jose","Mill Valley","CA",68331,"USA",1968-06-13 00:00:00.000,"S","$30K - $50K","F",4,0,"High School Degree",1991-02-21 00:00:00.000,"Bronze","Manual","N"
885,98606104254,"Roberta","Sturgel","3086 Indigo Ct","El Cajon","CA",24720,"USA",1919-09-06 00:00:00.000,"S","$30K - $50K","M",4,0,"High School Degree",1994-06-12 00:00:00.000,"Bronze","Manual","N"
960,99577841758,"Kari","Sloper","5283 Rishell Ct.","Richmond","CA",71842,"USA",1945-04-23 00:00:00.000,"S","$30K - $50K","F",0,0,"High School Degree",1992-05-24 00:00:00.000,"Bronze","Manual","N"
966,99645835757,"Lois","Knobel","9636 Palisade Court","Colma","CA",77752,"USA",1974-07-25 00:00:00.000,"S","$30K - $50K","F",2,0,"High School Degree",1991-02-23 00:00:00.000,"Bronze","Manual","Y"
1090,10705184936,"Paula","Tomlinson","8885 Partridge Dr.","Woodland Hills","CA",65219,"USA",1948-09-17 00:00:00.000,"S","$30K - $50K","M",1,0,"High School Degree",1992-04-24 00:00:00.000,"Bronze","Manual","N"
1133,10958653688,"Troy","Lipford","1016 Whyte Park Avenue","Burbank","CA",72651,"USA",1953-11-10 00:00:00.000,"S","$30K - $50K","F",3,0,"High School Degree",1991-11-08 00:00:00.000,"Bronze","Manual","N"
