cod_cliente,nome_cliente,endereço,cidade,estado,telefone,email
1,"Albert von Einstein","Obere Str. 57","Recife","PE",56480145792,""
2,"Paco el Maco","Avda. de la Constitución 2222","São Luís","MA",15381394309,""
3,"Sancho Panza","C/ Ritual de lo Habitual  2312","Natal","RN",50944459654,""
4,"Carl Montgomery","120 Hanover Sq.","Recife","PE",88370577693,""
5,"Urra Gurra Aktersnurra","Berguvsvägen  8","Aracaju","SE",33337213108,""
6,"Herman Hinschler","Forsterstr. 57","Recife","PE",12039080079,""
7,"Julie Binoché","24, place Kléber","Natal","RN",91479153915,""
8,"Julio Iglesias","C/ de Don Quijote, 67","Recife","PE",67669000569,""
9,"Bernard de Gaule","12, rue des Bouchers","São Luís","MA",98807300049,""
10,"David Foot","Fauntleroy Circus","São Luís","MA",20507339972,""
11,"Victoria Abril","Plaza de Mayo 6","Manaus","AM",51327531892,""
12,"Speedy Gonzales","El Barrio Chino 12","Recife","PE",99854674417,""
13,"Alfred Neumann","Hauptstr. 29","Natal","RN",98849376104,""
14,"Edson Arantes do Nascimento","Av. dos Lusíadas, 23","São Luís","MA",99734511526,""
15,"Ian Wright","Berkeley Gardens
12  Brewery","Manaus","AM",80832796985,""
16,"Lars von Holstein","Walserweg 21","Recife","PE",83580273447,""
17,"Pierre Chardin","67, rue des Cinquante Otages","São Luís","MA",69302172676,""
18,"Greg Thatcher","35 King George","Petrolina","PE",26134888842,""
19,"Lars Saalbach","Kirchgasse 6","Recife","PE",96573702137,""
20,"Romario do Sauza","Rua Orós, 92","Recife","PE",76516328156,""
